GEO_ID,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
21081,42475,43755,46011,46159,46382,44824,44191,43881,45610,48714,56746,60040
21083,35277,35514,36698,38394,39529,39530,40268,40369,41615,44043,45614,48187
21085,33965,32919,33290,32399,33788,35030,36129,35944,37906,38612,38262,40839
21087,36575,35313,33573,34406,34368,34982,36681,37388,37374,35899,33846,34363
21089,42377,41902,43808,44060,44035,45370,46771,47517,49343,51655,52337,55431
21091,44892,47895,48867,51189,50311,50476,49375,49135,52019,57217,56265,61622
21093,47540,48743,49257,48687,49602,50765,51541,51923,53168,54367,57101,59863
21095,26582,26914,26758,25906,25186,25814,25350,24451,26324,26478,28261,30210
21097,40582,38690,36393,36048,35957,35681,40164,44620,49696,48438,50270,53862
21099,30969,31858,32445,33408,34771,34774,35738,37315,37795,38396,39834,45342
21101,40438,41473,42266,41940,41006,41036,41630,43458,45389,48926,50471,53635
21103,43612,42506,43083,46016,44764,46495,50412,50787,51447,53926,52550,52301
21105,31836,37535,36125,34029,42256,41218,39756,38036,40463,42929,44063,46321
21107,39312,39187,40501,40891,42404,42346,43169,44048,45738,47170,47014,49495
21109,21928,21448,22213,26156,27224,29826,30884,32055,32143,32138,31515,33699
21111,45352,46298,46701,46959,47692,48695,50099,52237,54357,56586,58196,61633
21113,47494,48547,48299,49024,50057,50558,52748,55450,56728,58245,64855,65196
21115,30820,32421,34466,34090,35026,35570,35060,35629,37559,37055,38333,41489
21117,53213,53375,53900,54270,54817,54296,56568,58674,61606,64339,66541,68503
21119,29451,31735,32482,33889,31624,30411,28165,30503,29326,31198,32531,35583
21121,21493,22364,24193,24038,25523,26599,26553,26061,28790,30181,30257,29206
21123,38891,37920,39103,39753,39364,38578,41050,41720,41779,47643,48495,53555
21125,36787,37286,36835,36570,35746,36020,36139,37235,39230,41526,43745,46604
21127,28865,32279,32622,33525,36225,35935,35016,32703,31813,32798,32856,37014
21129,25129,24674,22789,22920,23968,22698,21185,23297,23972,25275,24699,29817
21131,26857,29050,26386,29293,29156,25872,25282,27861,30798,31627,36038,34528
21133,31283,29564,29532,31200,31630,30333,29181,30293,29856,29886,33181,35278
21135,28376,27181,27311,28388,27707,28630,29088,32054,31096,31147,29844,32402
21137,32314,33398,34454,33651,35949,37139,35185,37930,39833,42919,42231,45856
21139,39075,40248,40101,40313,40580,42171,43333,43472,46076,50839,52795,51081
21141,34647,35973,35962,36590,36101,38570,39027,40982,43842,48014,48912,53133
21143,42079,40546,38414,40112,43715,46931,47861,50268,50097,52528,49286,55203
21145,41630,44054,44757,44898,43650,44067,42303,42894,44486,46080,47011,53366
21147,22643,24292,21758,20972,20000,19328,18972,19264,23273,28105,29499,33939
21149,39115,40183,40563,38833,40851,40770,43005,44242,50445,51861,54181,57027
21151,41894,41876,42020,42312,42155,42390,43707,46674,48687,50060,51649,55002
21153,22779,25410,25461,26877,27947,28500,29463,29578,29516,28147,27807,29615
21155,37488,38202,37710,38719,38478,38826,40392,40005,38544,40107,43587,48791
21157,43326,45605,44802,43907,44539,45212,45670,49126,50731,55113,57348,58989
21159,25173,23920,25340,26261,28040,25795,29052,29239,35125,41013,42894,40826
21161,40523,40678,39192,41137,39783,38824,38613,43082,41415,45377,46241,48106
21163,43800,45007,45629,46756,49379,49884,50034,53732,57963,56603,61500,63944
21165,29740,28279,25988,29108,30313,31503,35280,39688,39905,39325,46746,43313
21167,47955,47690,44431,45396,42658,42083,46130,47574,50475,55093,52312,53750
21169,34732,35199,34100,31750,30453,32294,33788,35594,35809,37386,40391,43196
21171,28439,28548,27586,29808,30378,31045,34120,35665,34167,34879,35078,39334
21173,36034,37393,35832,37312,38373,39275,39750,42172,41974,45516,46998,49313
21175,30229,29872,29154,30658,29730,29707,32517,33523,34419,36134,37399,41664
21177,36750,37440,38835,38105,38849,38961,40445,40037,43110,43590,45937,46124
21179,44783,45149,43722,43833,45655,49298,51408,55182,57469,60127,63032,64354
21181,40259,39586,41832,43081,41996,36097,37993,38900,41354,38149,47665,44306
21183,36050,38252,38286,40830,39574,40189,39479,41470,42826,45564,45773,48481
21185,79417,82578,83164,83391,84447,85452,86324,92237,97597,99128,103761,109815
21187,46238,45551,41719,41009,40995,41934,41597,44031,45338,48801,50553,52450
21189,19351,19344,19624,19986,19146,20985,22106,22736,25530,30284,29406,29340
21191,44670,48354,48761,45480,46085,48353,49766,49706,52620,54375,56000,57619
21193,29547,32538,32676,33528,32302,32667,31578,31820,31046,33640,39594,40577
21195,32563,33148,33227,32961,32571,33183,32816,32972,34081,34856,34700,36910
21197,31815,28382,27555,26839,29141,29736,34048,34647,36958,37469,41071,39493
21199,32771,33282,32788,34092,33425,34790,34673,35022,37921,39998,40658,42652
21201,27254,26544,29136,31786,30479,31741,30964,30694,38864,41902,53074,53833
21203,26946,26967,28178,30674,31536,31555,33500,35888,36468,35720,38744,40406
21205,31604,32763,33615,35236,40697,36860,36216,36411,37639,38230,42754,45681
21207,29980,31087,29465,29721,30773,30720,31539,34660,36159,38390,41731,41851
21209,58028,57967,60553,61893,62134,63027,64329,65598,66966,70817,71750,73113
21211,55296,56417,56267,57298,57890,60324,61737,63171,64240,67056,72564,73974
21213,41323,41493,40930,39546,39055,39679,42288,44989,48311,48623,50159,53420
21215,59326,61921,62652,65209,65149,63000,65700,68916,77738,80166,85488,92973
